CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD * BU31   BUCKER              Bü-131 Jungmann          EV97__  Y    /
CD * BU33   BUCKER              Bü-133 Jungmeister       C162__  Y    /
CD * BUCA   ADVANCED AVIATION   Buccaneer                SVNH__  Y    /
CD * BUSH   RAINBOW SKYREACH    BushCat                  SVNH__  Y    /
CD * BX2    BRANDLI             BX-2 Cherry              C162__  Y    /
CD * C02T   CESSNA              402 (turbine)            E500__  Y    /
CD * C04T   CESSNA              404 (turbine)            PAY1__  Y    /
CD * C06T   CESSNA              206 (turbine)            P750__  Y    /
CD * C07T   CESSNA              207 (turbine)            E500__  Y    /
CD * C1     KAWASAKI            C-1                      A10___  Y    /
CD * C101   CASA                Aviojet                  L39___  Y    /
CD * C10T   CESSNA              P210 Turbine             E500__  Y    /
CD * C119   FAIRCHILD           C-119 Flying Boxcar      F27___  Y    /
CD * C120   CESSNA              120                      EV97__  Y    /
CD * C123   FAIRCHILD           C-123 Provider           C160__  Y    /
CD * C125   NORTHROP            C-125 Raider             S2P___  Y    /
CD - C130   LOCKHEED            L-100-30 Hercules        C130__  Y    /
CD * C133   DOUGLAS             C-133 Cargomaster        C130__  N    /
CD * C135   BOEING              C-135 Stratolifter       B703__  Y    /
CD * C140   CESSNA              140                      EV97__  Y    /
CD * C141   LOCKHEED            C-141 Starlifter         A310__  Y    /
CD * C14T   CESSNA              414 (turbine)            E500__  Y    /
CD * C15    MCDONNELL DOUGLAS   YC-15                    T154__  Y    /
CD * C150   CESSNA              150                      MAGC__  Y    /
CD * C152   CESSNA              152                      C162__  Y    /
CD - C160   TRANSALL            C-160P                   C160__  Y    /
CD - C162   CESSNA              162                      C162__  Y    /
CD * C17    BOEING              C-17 Globemaster 3       B764__  Y    /
CD * C170   CESSNA              170                      C162__  Y    /
CD - C172   CESSNA              172S Skyhawk SP          C172__  Y    /
CD * C175   CESSNA              175 Skylark              EV97__  Y    /
CD * C177   CESSNA              177 Cardinal             C172__  Y    /
CD * C180   CESSNA              180                      C182__  Y    /
CD - C182   CESSNA              182T Skylane             C182__  Y    /
CD * C185   CESSNA              185 Skywagon             C182__  Y    /
CD - C188   CESSNA              A188B                    C188__  Y    /
CD * C190   CESSNA              190                      M20P__  Y    /
CD * C195   CESSNA              195                      C182__  Y    /
CD * C2     GRUMMAN             C-2 Greyhound            C160__  Y    /
CD * C205   CESSNA              205                      C206__  Y    /
CD - C206   CESSNA              206H                     C206__  Y    /
CD * C207   CESSNA              207 Stationair 7         C206__  Y    /
CD - C208   CESSNA              208B                     C208__  Y    /
CD - C210   CESSNA              210M                     C210__  Y    /
CD * C212   CASA                C-212 Aviocar            JS32__  Y    /
CD * C21T   CESSNA              421 (turbine)            TBM7__  Y    /
CD * C22J   CAPRONI VIZZOLA     C-22J Ventura            EA50__  Y    /
CD * C240   CESSNA              T240 Corvalis TTx        S22T__  Y    /
CD - C25A   CESSNA              Citation CJ2+            C25A__  Y    /
CD - C25B   CESSNA              Citation CJ3             C25B__  Y    /
CD - C25C   CESSNA              Citation CJ4             C25C__  Y    /
CD * C25M   CESSNA              525 Citation M2          C525__  Y    /
CD * C270   CAUDRON             C-275 Luciole            SVNH__  Y    /
CD - C27J   ALENIA AERMACCHI    C-27J                    C27J__  Y    /
CD * C295   CASA                C-295                    F27___  Y    /
CD * C303   CESSNA              Crusader                 PA31__  Y    /
CD * C309   CEA                 CEA-309 Mehari           E300__  Y    /
CD - C30J   LOCKHEED MARTIN     C-130J                   C30J__  Y    /
